=== RESUMO ESTATÍSTICO ===

TAREFA A - LAÇO IRREGULAR
----------------------------------------------------------------------------------------------------
          tarefa       n    k  threads      mean      std  chunk
tarefa_a_dynamic  100000 24.0       16  0.086983 0.000959    4.0
tarefa_a_dynamic  100000 24.0       16  0.088557 0.004699   16.0
tarefa_a_dynamic  100000 24.0       16  0.088150 0.003321   64.0
tarefa_a_dynamic  100000 28.0        1  2.701756 0.010587    1.0
tarefa_a_dynamic  100000 28.0        1  2.693782 0.008494    4.0
tarefa_a_dynamic  100000 28.0        1  2.698827 0.010374   16.0
tarefa_a_dynamic  100000 28.0        1  2.693347 0.008917   64.0
tarefa_a_dynamic  100000 28.0        2  1.463449 0.052679    1.0
tarefa_a_dynamic  100000 28.0        2  1.433123 0.012556    4.0
tarefa_a_dynamic  100000 28.0        2  1.451020 0.054419   16.0
tarefa_a_dynamic  100000 28.0        2  1.486546 0.069109   64.0
tarefa_a_dynamic  100000 28.0        4  0.839047 0.010143    1.0
tarefa_a_dynamic  100000 28.0        4  0.807618 0.010691    4.0
tarefa_a_dynamic  100000 28.0        4  0.830862 0.031365   16.0
tarefa_a_dynamic  100000 28.0        4  0.834608 0.006550   64.0
tarefa_a_dynamic  100000 28.0        8  0.563263 0.004737    1.0
tarefa_a_dynamic  100000 28.0        8  0.560854 0.014083    4.0
tarefa_a_dynamic  100000 28.0        8  0.569745 0.012935   16.0
tarefa_a_dynamic  100000 28.0        8  0.561211 0.007764   64.0
tarefa_a_dynamic  100000 28.0       16  0.517221 0.007697    1.0
tarefa_a_dynamic  100000 28.0       16  0.518097 0.009250    4.0
tarefa_a_dynamic  100000 28.0       16  0.517795 0.007265   16.0
tarefa_a_dynamic  100000 28.0       16  0.519218 0.007719   64.0
tarefa_a_dynamic  500000 20.0        1  0.374169 0.002942    1.0
tarefa_a_dynamic  500000 20.0        1  0.379842 0.004156    4.0
tarefa_a_dynamic  500000 20.0        1  0.375632 0.004012   16.0
tarefa_a_dynamic  500000 20.0        1  0.371494 0.001958   64.0
tarefa_a_dynamic  500000 20.0        2  0.192871 0.014585    1.0
tarefa_a_dynamic  500000 20.0        2  0.193842 0.005244    4.0
tarefa_a_dynamic  500000 20.0        2  0.201306 0.012630   16.0
tarefa_a_dynamic  500000 20.0        2  0.193682 0.010692   64.0
